,ID,Task,Client,Area,Country,Contact,Assignee,Completion,Start date,Deadline,Budget,Transaction type,Account,Version,Available
,499,Task #500,McDermott - Leuschke,Configuration,Iran,Dagmar_Hane75@example.net,Barbara Parisian, 68%,13.05.2022,06.07.2022,"3 833,61 €",invoice,TN8708906004795200922641,1.4.7,
,500,Task #501,Waters - Bruen,Response,Papua New Guinea,Kaelyn42@example.com,Tony Nolan, 7%,17.04.2022,19.08.2022,"692,72 €",withdrawal,DK8200526626765088,2.1.5,
,501,Task #502,Boyle Inc,Accounts,Portugal,Rosina.Little54@example.org,Maureen Gislason, 34%,25.04.2022,15.08.2022,"10 663,67 €",withdrawal,GT153P3557L711140451588O6B97,6.8.7,
,502,Task #503,Macejkovic LLC,Factors,Oman,Mozell.Spencer47@example.com,Faye Sporer, 78%,11.05.2022,03.09.2022,"2 262,85 €",withdrawal,CZ1142071142676016950071,3.1.9,
,503,Task #504,"Wiza, Nienow and Donnelly",Research,Indonesia,Genoveva_Champlin@example.com,Danielle Kiehn, 5%,20.04.2022,13.07.2022,"6 148,44 €",deposit,GB69OUWR06500580033751,0.1.1,
,504,Task #505,Nader LLC,Tactics,Belize,Elmira74@example.org,Mamie Durgan, 59%,01.04.2022,03.08.2022,"2 095,97 €",withdrawal,MC9665040700631MN68548Q9P72,3.7.2,
,505,Task #506,Bogisich Inc,Marketing,Philippines,Nolan53@example.net,Troy Fritsch, 89%,06.06.2022,25.08.2022,"7 256,61 €",withdrawal,ME08527104296555004058,2.9.9,
,506,Task #507,Heller LLC,Metrics,Bhutan,Mafalda_Torp@example.com,Mabel Connelly, 35%,06.05.2022,08.09.2022,"2 153,33 €",invoice,PS843415405137006563200400075,5.0.7,
,507,Task #508,Feil LLC,Security,Suriname,Yvonne44@example.org,Rosa Volkman DDS, 88%,03.04.2022,04.09.2022,"9 925,76 €",invoice,CZ6201008030830030457043,5.5.6,
,508,Task #509,"Stokes, Franey and Casper",Paradigm,Ghana,Russ.Weissnat@example.org,Roger West, 37%,30.05.2022,07.10.2022,"601,92 €",withdrawal,SI70997863008698669,8.9.5,
,509,Task #510,"Maggio, O'Conner and Vandervort",Interactions,Guatemala,Keith69@example.net,Nicole Maggio, 80%,15.06.2022,07.08.2022,"4 682,34 €",withdrawal,AZ24KRBL07610801450067300308,4.3.4,
,510,Task #511,Rogahn - Heller,Security,Canada,Destin.Greenholt@example.net,Teresa Dickinson, 37%,09.04.2022,30.08.2022,"6 546,47 €",invoice,PT81030030930679681690434,7.7.1,
,511,Task #512,"Larkin, Armstrong and Sipes",Web,Ukraine,Cloyd.Hermiston2@example.org,Audrey Hermiston, 19%,25.05.2022,29.09.2022,"9 391,90 €",deposit,NL82TRND8195399550,8.3.1,
,512,Task #513,"Nolan, Effertz and Franey",Usability,Northern Mariana Islands,Zoe49@example.com,Miss Karen Emard, 85%,03.05.2022,16.07.2022,"1 299,99 €",deposit,LB320085O20412N90190O8C47499,0.0.7,
,513,Task #514,"Cartwright, Wisozk and Effertz",Group,Netherlands,Lura_Dooley@example.com,Lowell Wisoky, 1%,28.04.2022,01.08.2022,"6 712,40 €",withdrawal,MR7650118574649705020080922,9.1.2,
,514,Task #515,Gaylord - Parker,Usability,Spain,Dorthy53@example.net,Tracy Simonis, 9%,03.05.2022,06.08.2022,"7 995,34 €",invoice,MR2844060759023002589287645,1.3.0,
,515,Task #516,"Nicolas, Gottlieb and Gorczany",Operations,Maldives,Savannah_Trantow12@example.com,Cynthia Botsford, 86%,25.04.2022,06.07.2022,"10 675,55 €",invoice,FI3646700116170727,9.5.3,
,516,Task #517,Olson LLC,Factors,Aruba,Reed56@example.net,Miss Hector Schoen, 77%,06.06.2022,09.10.2022,"1 569,73 €",payment,LT575147003003020022,0.3.7,
,517,Task #518,"Rau, Konopelski and Beahan",Usability,Bermuda,Noelia_Stanton68@example.org,Gilbert Wyman, 5%,24.02.2022,02.09.2022,"8 625,64 €",payment,GI51JLEE7355576665W2452,0.7.8,
,518,Task #519,McKenzie and Sons,Branding,Costa Rica,Murray24@example.org,Rachel Nienow, 27%,02.03.2022,08.09.2022,"3 822,69 €",payment,PS03R598309174051600168092577,7.2.0,
,519,Task #520,Prosacco LLC,Interactions,Denmark,George.Hegmann@example.org,Heather Gulgowski, 37%,13.04.2022,08.09.2022,"3 051,02 €",deposit,LB9630928742J13882514HY0735O,0.6.7,
,520,Task #521,Tremblay Group,Identity,Russian Federation,Bradford80@example.org,Mr. Lowell Bartoletti, 58%,17.03.2022,21.08.2022,"7 552,17 €",payment,KW87SGPF919Z1868076A4Q82A2N888,9.6.9,
,521,Task #522,Gerlach - Kuphal,Operations,Cayman Islands,Thalia7@example.org,Mack Considine, 76%,04.05.2022,16.09.2022,"4 211,38 €",invoice,NL52IASW0147034042,6.0.4,
,522,Task #523,Wiza - Rowe,Program,Montserrat,Gaylord.Bechtelar@example.com,Ismael Cole, 60%,04.04.2022,26.06.2022,"10 228,64 €",payment,RO67LCZSN8415I0565301791,8.4.4,
,523,Task #524,Ondricka Group,Operations,Kyrgyz Republic,Bailee81@example.com,Julio Boyer, 39%,05.04.2022,13.09.2022,"9 696,52 €",deposit,TN3360618890410800603526,6.5.9,
,524,Task #525,"McCullough, Wuckert and Luettgen",Division,Chile,Newton.Will@example.com,Gladys Renner, 17%,21.05.2022,12.09.2022,"2 295,60 €",invoice,EE640906705100450485,9.2.3,
,525,Task #526,Ebert Inc,Brand,Timor-Leste,Leonor.Wolf35@example.net,Morris Runolfsdottir, 81%,14.03.2022,20.06.2022,"9 787,86 €",invoice,TN7668367816806592087424,2.5.8,
,526,Task #527,Barton and Sons,Factors,Comoros,Ahmad73@example.net,Alberta Roob, 22%,28.02.2022,05.10.2022,"6 827,10 €",payment,RO41FMRQC49J94V3WH7790EZ,6.0.5,
,527,Task #528,"Marks, Schroeder and Russel",Directives,Guatemala,Vaughn.Rogahn@example.net,Tomas Goyette, 69%,15.06.2022,17.07.2022,"2 986,22 €",payment,TR652300610095258500800908,6.4.6,
,528,Task #529,Luettgen - Berge,Tactics,Tokelau,Layne38@example.net,Mrs. Leah Denesik, 40%,03.03.2022,30.06.2022,"4 693,49 €",payment,AD913590034617446Y72Y518,4.8.8,
,529,Task #530,Hettinger - Barrows,Functionality,Lesotho,Griffin_Stark@example.net,Mrs. Mona Balistreri, 83%,21.04.2022,23.09.2022,"7 110,91 €",withdrawal,LU24178V2FB246LT5049,5.9.8,
,530,Task #531,"Labadie, Lind and Greenholt",Mobility,Albania,Loyal.Mante@example.net,Shaun Pouros, 75%,06.03.2022,11.09.2022,"5 991,55 €",withdrawal,MC1230024910081848J27979571,8.6.7,
,531,Task #532,Dare - Olson,Identity,New Zealand,Lelia_Ruecker@example.net,Dorothy Barton PhD, 30%,11.05.2022,23.09.2022,"2 735,68 €",payment,GL1034410859080081,2.3.3,
,532,Task #533,Quitzon - Lubowitz,Solutions,France,Vivien9@example.net,Jesus Marquardt, 84%,11.04.2022,19.08.2022,"5 861,57 €",withdrawal,GT77822M6M0N920963J965T57L78,9.1.2,
,533,Task #534,Lynch Group,Integration,Slovakia (Slovak Republic),Jermey39@example.org,Ron Dach, 20%,12.06.2022,02.08.2022,"5 023,01 €",invoice,LI73658231JV134N205D7,4.9.5,
,534,Task #535,"Koch, Murray and McCullough",Creative,Azerbaijan,Loyce_Quitzon98@example.org,Sammy Kohler, 89%,17.04.2022,25.08.2022,"6 560,79 €",deposit,PL76706912260001080827231664,4.4.4,
,535,Task #536,"Russel, Haley and Gleichner",Security,Dominica,Jannie.Douglas2@example.org,Thelma Heidenreich, 28%,21.02.2022,15.07.2022,"3 737,43 €",withdrawal,IS910300579008510040013945,4.5.7,
,536,Task #537,"Senger, Armstrong and Gislason",Directives,Tanzania,Piper28@example.net,Joseph Kertzmann MD, 46%,08.03.2022,22.09.2022,"2 421,76 €",withdrawal,IL751230047280134700459,2.1.4,
,537,Task #538,"Sauer, Nitzsche and Little",Configuration,Spain,Lizzie12@example.com,Marc Witting, 45%,11.05.2022,17.06.2022,"3 804,08 €",invoice,LB0453731573797Z8U81T31H19A9,2.6.4,
,538,Task #539,Heathcote LLC,Marketing,Gabon,Peyton_Kub@example.com,Whitney Hand, 5%,20.05.2022,13.08.2022,"6 065,60 €",payment,DE08767340030760048311,6.9.3,
,539,Task #540,"Schneider, Greenfelder and Bogisich",Assurance,Croatia,Celia73@example.com,Guy Anderson, 98%,27.04.2022,06.09.2022,"2 222,07 €",payment,AT250024986024420596,0.5.5,
,540,Task #541,Wintheiser - Gleason,Markets,Christmas Island,Lynn_Keebler0@example.net,Kelley Walter, 36%,27.05.2022,19.06.2022,"2 084,52 €",payment,PT47932480347870083840004,9.4.8,
,541,Task #542,"Ledner, Weissnat and Crist",Tactics,Anguilla,Triston3@example.com,Domingo Windler, 49%,01.05.2022,12.07.2022,"5 331,99 €",withdrawal,QA17HXZW874PI487EY53139960S68,6.0.3,
,542,Task #543,Cremin - Larson,Data,Thailand,Monique_Quitzon94@example.com,Arthur Crooks, 32%,22.03.2022,20.07.2022,"1 017,33 €",invoice,GL5477684237003816,5.4.2,
,543,Task #544,Hills LLC,Mobility,Pitcairn Islands,Jennyfer20@example.net,Earnest Rath, 76%,06.03.2022,28.08.2022,"8 508,08 €",withdrawal,RO09VFDD83L41A3C6B33U301,1.9.8,
,544,Task #545,Reichert Group,Quality,Papua New Guinea,Braeden92@example.net,Terrance Metz, 30%,11.05.2022,30.09.2022,"8 460,89 €",payment,TR420700570045447209938977,2.6.9,
,545,Task #546,Pagac - Weimann,Brand,Nicaragua,Dan_Botsford@example.net,Cameron Hayes, 47%,17.03.2022,13.09.2022,"3 362,64 €",withdrawal,RS07046333476502061075,6.8.3,
,546,Task #547,"O'Connell, Gibson and Jerde",Communications,Belize,Kavon1@example.org,Casey Herzog, 74%,15.05.2022,26.06.2022,"10 012,29 €",deposit,RO96LBLS41304L793541L330,9.4.0,
,547,Task #548,Davis Group,Usability,Niger,Malinda.Schamberger52@example.org,Clifton Walker, 74%,31.03.2022,10.09.2022,"6 749,66 €",deposit,AT672370013061097652,3.4.2,
,548,Task #549,Trantow - Doyle,Identity,Grenada,Coty.Hermann57@example.org,Kevin Stroman, 51%,19.05.2022,10.08.2022,"8 580,25 €",payment,ES1402709928741002039889,4.5.0,
,549,Task #550,"Graham, Berge and Zulauf",Integration,Togo,Savannah.Douglas@example.com,Tamara McClure DDS, 66%,23.03.2022,19.06.2022,"5 666,41 €",deposit,PL43070668252088335061001007,0.6.1,
,550,Task #551,VonRueden Group,Marketing,Russian Federation,Kristy.Feil16@example.net,Miss Jody Hoeger, 45%,07.06.2022,19.06.2022,"9 316,04 €",payment,GR52538018630911X72829P5277,8.1.7,
,551,Task #552,Bednar Inc,Accounts,Fiji,Tina.Ortiz71@example.com,Cora Hettinger Jr., 66%,15.05.2022,07.10.2022,"3 119,84 €",deposit,AZ66GINH70707607560057231902,9.3.7,
,552,Task #553,Buckridge - Bins,Factors,India,Creola67@example.org,Dr. Ollie Marvin, 52%,30.04.2022,18.06.2022,"10 854,96 €",payment,BA925141019500158046,9.1.1,
,553,Task #554,Senger - Altenwerth,Accounts,New Caledonia,Leopoldo1@example.com,Gordon Schuppe, 44%,13.03.2022,23.07.2022,"7 704,59 €",invoice,FI8414698020900168,3.2.9,
,554,Task #555,Strosin Group,Assurance,Bulgaria,Lela.Kozey@example.com,Jill Zemlak, 21%,27.02.2022,09.09.2022,"10 683,03 €",withdrawal,SM16N0707957835I20712670957,5.1.3,
,555,Task #556,Zulauf - Dickinson,Program,Chile,Trenton11@example.net,Kathleen O'Reilly, 66%,18.03.2022,31.08.2022,"7 850,52 €",payment,CZ4930081310150045640061,4.8.7,
,556,Task #557,Boyer - Paucek,Brand,Gibraltar,Brionna.Lind61@example.net,Caleb Hudson, 47%,15.04.2022,27.06.2022,"578,03 €",invoice,TN6472773105542608309824,9.3.5,
,557,Task #558,Fahey - Kessler,Metrics,Dominica,Jo93@example.net,Karla Lakin, 51%,30.05.2022,06.08.2022,"3 645,26 €",invoice,GT05O2536W97N66614Y427OX468A,0.9.3,
,558,Task #559,Murray - Fay,Configuration,Northern Mariana Islands,Laury58@example.com,Miss Rolando Franecki, 60%,03.04.2022,26.07.2022,"5 504,07 €",payment,AE360030952742657724339,4.8.0,
,559,Task #560,Jenkins Inc,Marketing,Wallis and Futuna,Vada_Schamberger25@example.com,Casey Batz Sr., 66%,26.03.2022,20.08.2022,"4 646,90 €",invoice,RO76BZLEY24J9618J556892R,8.8.2,
,560,Task #561,"Von, Fahey and Bergnaum",Optimization,Canada,Charlie_Toy27@example.org,Miss Terrell Adams, 46%,07.05.2022,08.07.2022,"2 285,32 €",invoice,MT80XEXG44051432M7Z6X56E9305522,4.7.0,
,561,Task #562,Tillman - Bogisich,Marketing,Japan,Kiara16@example.com,Krista Powlowski, 41%,21.03.2022,07.10.2022,"3 678,70 €",deposit,CH29505537077M1940969,6.6.6,
,562,Task #563,"Thompson, Abernathy and Mohr",Accounts,Western Sahara,Sydnee_Beier@example.net,Donna Bergstrom, 70%,15.04.2022,02.07.2022,"6 189,10 €",invoice,BG08HTNA4744216C0G7252,9.3.5,
,563,Task #564,"Cormier, Dietrich and Douglas",Integration,Fiji,Alfredo.Lebsack@example.org,Alfonso King, 2%,08.05.2022,01.10.2022,"7 670,46 €",deposit,XK317092200900600905,0.9.1,
,564,Task #565,Mueller LLC,Web,Solomon Islands,Abbey.Walsh61@example.net,Jasmine Bode, 4%,23.05.2022,18.07.2022,"5 220,47 €",payment,PT10531496790042700807364,5.7.9,
,565,Task #566,Ritchie LLC,Intranet,Isle of Man,Millie28@example.com,Danielle Koss, 99%,08.05.2022,04.09.2022,"5 948,71 €",deposit,VG30G4539071315656003958,7.6.6,
,566,Task #567,Wisozk Group,Optimization,Romania,Elwin_Hegmann@example.net,Rose Reinger, 4%,01.06.2022,26.07.2022,"2 235,67 €",withdrawal,MD85S59Z06C275809U286269,1.8.0,
,567,Task #568,Schmitt - Kiehn,Research,Anguilla,Bridget.Lockman39@example.org,Ana Morar, 12%,05.03.2022,19.06.2022,"1 356,35 €",payment,SA096899064G7D2306091758,5.6.2,
,568,Task #569,Bergstrom Inc,Configuration,Latvia,Sterling_Kertzmann@example.net,Randy Hayes, 66%,15.06.2022,27.08.2022,"1 749,84 €",payment,IL735670997008290200890,1.5.8,
,569,Task #570,"Howell, Conroy and Murphy",Assurance,Gambia,Helene8@example.net,Miss June Treutel, 57%,14.05.2022,26.08.2022,"4 899,47 €",deposit,GE12TQ0196810020476241,2.8.4,
,570,Task #571,"Gleason, Rolfson and Connelly",Configuration,Togo,Woodrow_Schuster23@example.com,Andy Becker, 53%,10.03.2022,03.07.2022,"3 464,99 €",payment,TR503076928600820607918877,7.0.8,
,571,Task #572,Klein LLC,Accounts,Equatorial Guinea,Maureen10@example.net,Terrance Hilll, 57%,07.03.2022,18.06.2022,"3 875,76 €",invoice,BG98OZJM6026073Y2E8481,6.4.3,
,572,Task #573,"Ondricka, Lakin and Satterfield",Response,Malawi,Randal40@example.org,Shari Lockman, 60%,12.03.2022,16.07.2022,"3 830,07 €",invoice,FO3167630020017081,1.6.8,
,573,Task #574,Reinger and Sons,Creative,Indonesia,Lourdes62@example.net,Miguel Crooks, 46%,10.06.2022,16.07.2022,"5 279,83 €",payment,ME11312950010780280093,1.7.1,
,574,Task #575,Cartwright - Dare,Infrastructure,United States of America,Roy_Mosciski12@example.net,Sheryl Feil, 95%,04.04.2022,25.06.2022,"2 744,54 €",withdrawal,CH73101053P500YV944X5,2.7.6,
,575,Task #576,Reilly LLC,Assurance,Palestinian Territory,Ransom_Vandervort@example.org,Terence Kemmer, 37%,13.04.2022,16.07.2022,"4 198,61 €",invoice,BH35WMBA6637281231I055,2.0.2,
,576,Task #577,"Vandervort, Donnelly and Hane",Assurance,Greece,Heber.Moen87@example.net,Abraham Armstrong DDS, 44%,09.03.2022,19.09.2022,"10 001,95 €",deposit,SM54L1007903937D8836R084W01,6.6.9,
,577,Task #578,"Feil, Koch and Wiegand",Web,Marshall Islands,Jamie.Bailey76@example.net,Freddie Deckow, 54%,07.03.2022,30.07.2022,"5 150,57 €",payment,SM76J84600714469W35C568507Q,5.5.4,
,578,Task #579,Strosin Group,Data,Bhutan,Alberta51@example.org,Gloria Goodwin, 26%,19.04.2022,08.08.2022,"6 048,59 €",invoice,EE723003505669015470,9.6.2,
,579,Task #580,Harvey Group,Assurance,Slovakia (Slovak Republic),Lily_Walsh@example.net,Brittany Steuber, 47%,02.04.2022,22.07.2022,"10 381,66 €",invoice,BH32ASVT1Y29557Z0MSWS1,6.5.4,
,580,Task #581,"O'Keefe, Lebsack and Beer",Intranet,Netherlands,Herminio.Murphy77@example.org,Rhonda Hodkiewicz, 54%,09.06.2022,18.08.2022,"8 468,88 €",withdrawal,MK61009653113580W38,2.2.3,
,581,Task #582,Leffler - Lueilwitz,Accountability,Macao,Cole80@example.net,Emilio Nitzsche, 11%,12.04.2022,04.09.2022,"3 472,65 €",withdrawal,LI26540956142L5616760,5.5.0,
,582,Task #583,"Kertzmann, Kerluke and Lockman",Applications,Uruguay,Madilyn20@example.net,Jane Schowalter, 34%,24.05.2022,08.09.2022,"7 695,21 €",invoice,FR521733300475416462013PK72,0.9.6,
,583,Task #584,Satterfield Inc,Program,Swaziland,Grayce.Baumbach43@example.net,Ben Wintheiser, 54%,24.03.2022,20.09.2022,"1 863,03 €",invoice,BA570670985824755018,0.7.5,
,584,Task #585,Ziemann - King,Factors,French Polynesia,Ferne_Schmeler44@example.com,Yvette Von, 66%,06.06.2022,14.07.2022,"6 925,65 €",deposit,RO12WARS524678131474V392,8.2.4,
,585,Task #586,Legros and Sons,Configuration,Saint Martin,Clare.Carter@example.org,Salvador Schaefer, 49%,15.04.2022,21.09.2022,"5 644,38 €",payment,MD2717554S4U326361146565,4.4.1,
,586,Task #587,Kreiger LLC,Data,Israel,Madie.Kozey4@example.com,Ms. Mabel Krajcik, 3%,06.05.2022,03.10.2022,"10 546,51 €",withdrawal,TL291274688810604050049,9.8.3,
,587,Task #588,Purdy Group,Intranet,Netherlands,Dayton_Hickle@example.org,Lucy Swift I, 12%,02.04.2022,28.09.2022,"4 253,87 €",payment,NL10TSZB4702506048,9.3.1,
,588,Task #589,Balistreri LLC,Configuration,Gambia,Riley_Quitzon41@example.org,Manuel Wehner Jr., 17%,21.05.2022,15.08.2022,"2 531,51 €",payment,MT41SARM4051081499A56TH256W294S,6.0.0,
,589,Task #590,Denesik - Wunsch,Quality,Ghana,Ruth87@example.org,Sophie Anderson, 24%,29.04.2022,18.09.2022,"9 882,60 €",withdrawal,VG981N4L7024830500803349,7.3.4,
,590,Task #591,"McCullough, Parker and Trantow",Solutions,Brazil,Kobe.Hermiston@example.net,Nelson Labadie, 62%,22.03.2022,06.07.2022,"10 296,99 €",payment,GL9695830070048071,3.2.9,
,591,Task #592,"Nolan, Gerlach and Rosenbaum",Response,Djibouti,Treva_Kautzer@example.net,Harvey Fadel, 85%,26.04.2022,25.06.2022,"6 734,95 €",payment,MC415999003997XPA39000G6415,6.0.7,
,592,Task #593,"Jacobi, Beier and Goodwin",Web,Tajikistan,Gunnar9@example.net,Mr. Wayne Collier, 62%,01.03.2022,13.07.2022,"7 354,01 €",deposit,BE94076963817990,9.6.8,
,593,Task #594,"Schneider, Olson and Feeney",Implementation,Tajikistan,Christopher.Adams74@example.org,Dr. Ollie West, 99%,28.03.2022,16.07.2022,"3 976,74 €",withdrawal,SA7983038U90J17T93Y06426,7.5.2,
,594,Task #595,Morissette - Shanahan,Group,Japan,Aurelio.Orn25@example.org,Shelley Brekke, 0%,29.04.2022,21.06.2022,"4 485,84 €",withdrawal,AD880060055426695D901365,9.1.2,
,595,Task #596,"Bergnaum, O'Reilly and Padberg",Research,Cyprus,Megane_Hudson80@example.org,Stewart McGlynn, 53%,28.04.2022,21.09.2022,"1 991,06 €",deposit,FI2000905930004978,4.3.1,
,596,Task #597,"Jakubowski, Hyatt and Davis",Creative,Maldives,Charlie.Murphy18@example.org,Joanne Barton, 78%,30.05.2022,09.08.2022,"3 413,68 €",invoice,FO3805920402376047,5.0.0,
,597,Task #598,"McKenzie, Monahan and Stehr",Brand,Jersey,Cassidy.Little@example.org,Mrs. Rose Parker, 58%,23.04.2022,10.09.2022,"6 426,93 €",payment,FR440008980434924P9Y7486A70,1.1.9,
,598,Task #599,"Franey, Hartmann and Thiel",Intranet,Canada,Osborne_Johnson14@example.com,Connie Klocko, 59%,30.04.2022,27.08.2022,"5 717,31 €",payment,IS174589488964909006414895,4.4.1,
,599,Task #600,Dickens LLC,Directives,Poland,Maryjane_Reilly@example.org,Shane Murray, 38%,31.03.2022,03.08.2022,"7 019,57 €",invoice,FO9720019007504095,5.7.0,
,600,Task #601,"Kilback, Ziemann and Strosin",Identity,Chad,Allene_Shields86@example.com,Tammy Okuneva, 57%,09.06.2022,29.09.2022,"5 089,76 €",withdrawal,QA38CXVM2F4KU043K309782A64319,5.5.5,
,601,Task #602,Maggio and Sons,Infrastructure,Mozambique,Cecelia_Gerlach@example.org,Marlon Pouros, 62%,17.05.2022,03.07.2022,"3 293,57 €",payment,MD670563S3376814839P79I3,0.4.7,
,602,Task #603,"Bode, Schulist and Blanda",Operations,Estonia,Jacinthe85@example.com,Bryant Luettgen, 20%,29.05.2022,08.10.2022,"6 888,31 €",payment,BG71ODRJ15005995921P0O,8.9.8,
,603,Task #604,Kautzer Inc,Research,Jordan,Micheal.Schmeler76@example.net,Devin Hyatt, 91%,14.04.2022,01.07.2022,"6 070,22 €",deposit,ES2145200108740090642833,6.8.0,
,604,Task #605,Trantow - Ankunding,Accountability,Cayman Islands,Daphnee.Abernathy@example.net,Bob Sipes, 7%,25.03.2022,07.10.2022,"10 831,48 €",payment,CY650310073007L9641H551G47S8,5.1.6,
,605,Task #606,"Schaefer, Auer and Block",Brand,Netherlands Antilles,Karlie.Kirlin@example.com,Josh Auer, 73%,08.06.2022,12.07.2022,"4 926,26 €",payment,TR840600160042029083507841,0.4.3,
,606,Task #607,Tromp LLC,Accounts,Denmark,Brenda_Kovacek@example.com,Hilda Leuschke, 43%,21.04.2022,07.09.2022,"4 345,51 €",withdrawal,SM05E751750804938846D13RBO1,7.9.1,
,607,Task #608,Waelchi - Beier,Program,Nepal,Hank.Senger@example.net,Calvin Corkery, 90%,29.04.2022,12.09.2022,"7 598,01 €",deposit,NL17ALQY0213146004,8.2.4,
,608,Task #609,VonRueden LLC,Tactics,South Africa,Tamara.Durgan46@example.org,Rosemarie Swift, 22%,19.04.2022,20.07.2022,"2 642,44 €",invoice,LI0502133881993069595,0.4.9,
,609,Task #610,Runte and Sons,Response,Ethiopia,Sandy_Lubowitz16@example.com,Christopher Hudson, 45%,06.03.2022,31.07.2022,"9 835,42 €",withdrawal,LT221002532303477005,7.4.7,
,610,Task #611,Hahn - Hilpert,Accountability,Poland,Keegan_Osinski58@example.org,Inez Bode, 80%,06.06.2022,25.08.2022,"8 382,39 €",deposit,PK69ONOM0084089342041732,4.9.9,
,611,Task #612,Nikolaus LLC,Factors,Chad,Alfonso.Doyle17@example.org,Jodi Walker II, 44%,27.02.2022,04.07.2022,"1 543,19 €",withdrawal,BE31516005424085,8.2.5,
,612,Task #613,Langworth Group,Identity,Montenegro,Vella.Mosciski@example.org,Donald Purdy, 30%,30.04.2022,10.09.2022,"1 092,06 €",payment,BH28LOHH9180537783E0H3,1.2.8,
,613,Task #614,Effertz LLC,Branding,Mongolia,Kathryn_OConnell91@example.com,Terrence White, 55%,30.03.2022,04.09.2022,"5 940,23 €",withdrawal,MR2230711009546021060608143,0.5.0,
,614,Task #615,Labadie Inc,Accounts,Georgia,Maude_Langworth15@example.com,Mrs. Amos Ernser, 69%,20.03.2022,30.08.2022,"2 803,86 €",invoice,ME31072872540500380682,8.2.5,
,615,Task #616,Runolfsdottir Group,Directives,Israel,Madie_Gaylord65@example.com,Moses Monahan, 57%,24.03.2022,19.08.2022,"5 706,94 €",payment,MK1306655573S38B295,9.6.5,
,616,Task #617,Kassulke and Sons,Web,Syrian Arab Republic,Ramiro_Parisian7@example.org,Mrs. Bill Connelly, 63%,31.05.2022,04.09.2022,"1 110,59 €",invoice,BA149569150080804259,2.9.0,
,617,Task #618,Gerlach - Carroll,Program,Syrian Arab Republic,Coralie.Feil9@example.com,Randall VonRueden, 46%,10.03.2022,25.07.2022,"898,18 €",payment,AL725016727984257309S2299472,3.9.8,
,618,Task #619,Corkery Inc,Quality,Eritrea,Penelope_Waelchi23@example.net,Erick Altenwerth, 94%,23.02.2022,10.09.2022,"10 398,65 €",deposit,BH56EPOA36H801A49R78H4,0.4.9,
,619,Task #620,"Cartwright, Casper and Friesen",Solutions,Sudan,Wilma20@example.net,Lyle Friesen PhD, 28%,08.04.2022,26.08.2022,"10 384,23 €",withdrawal,PT35023470714322010079633,0.2.6,
,620,Task #621,Anderson Group,Functionality,Sao Tome and Principe,Gust_Weimann80@example.com,Yolanda Schiller, 36%,06.06.2022,01.07.2022,"10 489,51 €",invoice,NL04WGZO0066100163,3.8.1,
,621,Task #622,Jacobs - Dicki,Security,Swaziland,Gregoria.Luettgen22@example.com,Ms. Bobbie Konopelski, 9%,14.04.2022,16.08.2022,"3 314,51 €",withdrawal,MK7664076Q43Y84HE68,0.0.0,
,622,Task #623,Schaefer and Sons,Identity,Iran,Kameron.Walter40@example.net,Sharon Mraz, 1%,04.04.2022,19.09.2022,"6 582,33 €",withdrawal,CZ0690218027816677700578,4.6.3,
,623,Task #624,Carter - O'Kon,Paradigm,Serbia,Khalil_Mosciski@example.org,Mr. Mandy Reichert, 49%,24.05.2022,18.08.2022,"7 785,91 €",payment,EE359693710084407970,0.5.9,
,624,Task #625,"Farrell, Conroy and Nolan",Accountability,Guatemala,Toney.Stokes31@example.net,Susan Spencer, 81%,14.05.2022,30.06.2022,"9 217,15 €",payment,RS37091208007793165193,3.4.2,
,625,Task #626,Huel - Kozey,Creative,Sierra Leone,Milton.Heathcote22@example.org,Olivia Koss Jr., 72%,15.06.2022,24.09.2022,"8 957,11 €",invoice,PL63008416120869085199400742,4.2.6,
,626,Task #627,Jacobson Inc,Functionality,San Marino,Yazmin0@example.org,Louis Lynch, 35%,24.02.2022,31.08.2022,"10 756,90 €",withdrawal,MR0895653200830090600900612,8.9.6,
,627,Task #628,Lueilwitz Group,Group,Costa Rica,Emilia.Lesch64@example.net,Phyllis Hyatt, 13%,09.04.2022,28.07.2022,"1 573,47 €",payment,DK6370390405080911,3.5.1,
,628,Task #629,Von Inc,Creative,New Caledonia,Piper.Rippin85@example.com,Eloise Osinski, 55%,21.04.2022,26.06.2022,"3 938,17 €",payment,IT06Z91410255452929662H6BXF,7.5.0,
,629,Task #630,Muller Inc,Intranet,Mauritius,Betty_Cormier@example.org,Travis Gleason, 19%,18.04.2022,19.06.2022,"964,92 €",withdrawal,KZ830427284165B253R7,0.9.9,
,630,Task #631,"Johnston, Blick and Beatty",Quality,Vietnam,Carmel_Mitchell@example.org,Neal Fisher, 1%,08.05.2022,23.07.2022,"9 485,92 €",payment,BR9530028500837910080958087O2,5.1.1,
,631,Task #632,Schimmel - Pagac,Applications,Greenland,Stefan.Waters61@example.com,Conrad Dach, 71%,28.03.2022,26.08.2022,"7 433,03 €",withdrawal,HU09010024690095530026800353,5.2.1,
,632,Task #633,Gulgowski Group,Accountability,Puerto Rico,Evan.Hickle4@example.net,Hattie Runte Sr., 64%,03.06.2022,23.06.2022,"3 016,71 €",deposit,MU67ZFJY2721050600462600073AAV,3.5.7,
